nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
Canadá,38008005,9984670,América
México,128932753,1964375,América
Estados Unidos,331893745,9833517,América
China,1411778724,9596961,Asia
India,1380004385,3287263,Asia
Australia,25687041,7692024,Oceanía
Nueva Zelanda,5084300,268021,Oceanía
Sudáfrica,59308690,1219090,África
Egipto,109262178,1002450,África
Nigeria,223804632,923769,África
Reino Unido,68207116,243610,Europa
Francia,67564251,551695,Europa
Italia,60244639,301340,Europa
Rusia,146171015,17098242,Europa
Arabia Saudita,36000000,2149690,Asia
